ProductCode, Id
Safety,01t24000004R1RHAA0
Saurus,01t24000004R1RIAA0
Sumidan 150,01t24000004R1RJAA0
Sumidan 25 CE,01t24000004R1RKAA0
Sumithion CE,01t24000004R1RLAA0
Tiger 100 EC,01t24000004R1RMAA0
Celeiro,01t24000004R1RNAA0
2106 GL,01t24000004R1ROAA0
DM6200 RR,01t24000004R1G0AAK
DM6400 RR,01t24000004R1G1AAK
DM6600 RR,01t24000004R1G2AAK
DM7.0i,01t24000004R1G3AAK
DM8001 RR,01t24000004R1G4AAK
2A106 H,01t24000004R1G5AAK
2A120 H,01t24000004R1G6AAK
2A401 PW,01t24000004R1G7AAK
2A550 H,01t24000004R1G8AAK
2A550 PW,01t24000004R1G9AAK
2A620 PW,01t24000004R1GAAA0
2B433 H,01t24000004R1GBAA0
2B433 PW,01t24000004R1GCAA0
2B512 H,01t24000004R1GDAA0
2B512 PW,01t24000004R1GEAA0
2B587 H,01t24000004R1GFAA0
2B587 PW,01t24000004R1GGAA0
2B604 H,01t24000004R1GHAA0
2B604 PW,01t24000004R1GIAA0
2B610 PW,01t24000004R1GJAA0
2B655 PW,01t24000004R1GKAA0
2B688 H,01t24000004R1GLAA0
2B688 PW,01t24000004R1GMAA0
2B707 H,01t24000004R1GNAA0
2B707 PW,01t24000004R1GOAA0
2B710 H,01t24000004R1GPAA0
2B710 PW,01t24000004R1GQAA0
2B810 PW,01t24000004R1GRAA0
5D634 RR,01t24000004R1GSAA0
Belure - Dow,01t24000004R1GTAA0
Diurom,01t24000004R1GUAA0
Eforia 248 SCá - Dow,01t24000004R1GVAA0
Intrepid,01t24000004R1GWAA0
Lorsban CE,01t24000004R1GXAA0
Platinum Neo - Dow,01t24000004R1GYAA0
Sabre,01t24000004R1GZAA0
Tracer,01t24000004R1GaAAK
Trinca Caps,01t24000004R1GbAAK
Vexter,01t24000004R1GcAAK
Altacor,01t24000004R1GdAAK
Altacor - DuPont,01t24000004R1GeAAK
Approach Prima,01t24000004R1GfAAK
APROACH POWER BR,01t24000004R1GgAAK
Aproach Prima,01t24000004R1GhAAK
Curavial,01t24000004R1GiAAK
Mover,01t24000004R1aZAAS
Sett,01t24000004R1aaAAC
Starter,01t24000004R1abAAC
Stimulatte,01t24000004R1acAAC
EPINGLE 100 - Sumitomo,01t24000004R1adAAC
Sialex 500,01t24000004R1aeAAC
Sumilex 500 WP,01t24000004R1afAAC
Sumirody 300 - Sumitomo,01t24000004R1agAAC
TMG 1066 RR,01t24000004R1ahAAC
TMG 1067 RR,01t24000004R1aiAAC
TMG 11 WS,01t24000004R1ajAAC
TMG 115 RR,01t24000004R1akAAC
5672 B2RF,01t24000004R1RPAA0
5675 B2RF,01t24000004R1RQAA0
5822 B2RF,01t24000004R1RRAA0
6035 B2RF,01t24000004R1RSAA0
8276 B2RF,01t24000004R1RTAA0
8276 LL,01t24000004R1RUAA0
8276 WS,01t24000004R1RVAA0
8405 GLT,01t24000004R1RWAA0
Attamix 400PM,01t24000004R1RXAA0
Galileo XL,01t24000004R1RYAA0
Frowncide 500 SC,01t24000004R1RZAA0
Boveril,01t24000004R1RaAAK
Exion,01t24000004R1RbAAK
Abamectina 1% Cherry,01t24000004R1RcAAK
Best,01t24000004R1RdAAK
LG 6033 PRO3,01t24000004R1ReAAK
LG 6036 PRO,01t24000004R1RfAAK
LG 6038 PRO,01t24000004R1RgAAK
LG6036 PRO,01t24000004R1RhAAK
LG6038 PRO,01t24000004R1RiAAK
62MF00 IPRO,01t24000004R1RjAAK
71MF00 IPRO,01t24000004R1RkAAK
Mancozebna,01t24000004R1RlAAK
Ager,01t24000004R1RmAAK
Glutamin Ca-B,01t24000004R1RnAAK
Molybdate 250,01t24000004R1RoAAK
Plenno,01t24000004R1RpAAK
Sulfix,01t24000004R1RqAAK
Acehero,01t24000004R1RrAAK
Brigade 100 EC - Milenia,01t24000004R1RsAAK
Cefanol - Milenia,01t24000004R1RtAAK
Centauro - Milenia,01t24000004R1RuAAK
Cipermetr. Nortox,01t24000004R1RvAAK
Difluchem 240 SC - Milenia,01t24000004R1RwAAK
Dissulfan,01t24000004R1RxAAK
Galgotrin,01t24000004R1RyAAK
Galil SC,01t24000004R1RzAAK
Keshet,01t24000004R1S0AAK
Kohinor 200 SC,01t24000004R1S1AAK
Login - Milenia,01t24000004R1S2AAK
Metaf¾s,01t24000004R1S3AAK
Methomex - Milenia,01t24000004R1S4AAK
Dermacor,01t24000004R1GjAAK
Gallaxy 100 EC,01t24000004R1GkAAK
Lannate,01t24000004R1GlAAK
Majesty,01t24000004R1GmAAK
Piredan,01t24000004R1GoAAK
Platinum Neo - DuPont,01t24000004R1GpAAK
Rimon 100 EC,01t24000004R1GqAAK
Rumo,01t24000004R1GrAAK
Velpar K,01t24000004R1GsAAK
Volcane,01t24000004R1GtAAK
Abamectin DVA 18 EC,01t24000004R1GuAAK
Azamax,01t24000004R1GvAAK
Cipermetrina Agria 200 EC,01t24000004R1GwAAK
Clorpirif¾s Sabero 480 EC,01t24000004R1GxAAK
Login,01t24000004R1GyAAK
Majesty - DVA Agro,01t24000004R1GzAAK
Supermetrina Agria 500,01t24000004R1H0AAK
Trinca Caps - DVA Agro,01t24000004R1H1AAK
Baculovirus AEE,01t24000004R1H2AAK
BR 36,01t24000004R1H3AAK
BR 48,01t24000004R1H4AAK
BR 59,01t24000004R1H5AAK
BR variety RR,01t24000004R1H6AAK
BRS 1001 IPRO,01t24000004R1H7AAK
BRS 1003 RR,01t24000004R1H8AAK
BRS 1007 RR,01t24000004R1H9AAK
BRS 1010 RR,01t24000004R1HAAA0
BRS 133,01t24000004R1HBAA0
BRS 154,01t24000004R1HCAA0
BRS 163 Jataí,01t24000004R1HDAA0
BRS 184,01t24000004R1HEAA0
BRS 185,01t24000004R1KTAA0
BRS 206,01t24000004R1KUAA0
BRS 208,01t24000004R1KVAA0
BRS 212,01t24000004R1KWAA0
BRS 216,01t24000004R1KXAA0
BRS 220,01t24000004R1KYAA0
BRS 230,01t24000004R1KZAA0
TMG 1168 RR,01t24000004R1alAAC
TMG 1174 RR,01t24000004R1amAAC
TMG 1175 RR,01t24000004R1anAAC
TMG 1179 RR,01t24000004R1aoAAC
TMG 1180 RR,01t24000004R1apAAC
TMG 1182 RR,01t24000004R1aqAAC
TMG 1187 RR,01t24000004R1arAAC
TMG 123 RR,01t24000004R1asAAC
TMG 1264 RR,01t24000004R1atAAC
TMG 1266 RR,01t24000004R1auAAC
TMG 127,01t24000004R1avAAC
TMG 1288 RR,01t24000004R1awAAC
TMG 131 RR,01t24000004R1axAAC
TMG 132 RR,01t24000004R1ayAAC
TMG 133 RR,01t24000004R1azAAC
TMG 201021 IPRO INOX,01t24000004R1b0AAC
TMG 2158 IPRO,01t24000004R1b1AAC
TMG 2181 IPRO,01t24000004R1b2AAC
TMG 2183 IPRO,01t24000004R1b3AAC
TMG 2187,01t24000004R1b4AAC
Mospilan - Milenia,01t24000004R1S5AAK
Orfeu,01t24000004R1S6AAK
Premerlim,01t24000004R1S7AAK
Pyrinex 480 EC - Milenia,01t24000004R1S8AAK
Rimon 100 EC - Milenia,01t24000004R1S9AAK
Rimon Supra,01t24000004R1SAAA0
Saurus - Milenia,01t24000004R1SBAA0
Shelter,01t24000004R1SCAA0
Talstar 100 EC - Milenia,01t24000004R1SDAA0
DP 1227 B2RF,01t24000004R1SEAA0
DP 1228 B2RF,01t24000004R1SFAA0
DP 1240 B2RF,01t24000004R1SGAA0
DP 1243 B2RF,01t24000004R1SHAA0
DP 1248 B2RF,01t24000004R1SIAA0
DP 555 BGRR,01t24000004R1SJAA0
Methomex - Monsanto,01t24000004R1SKAA0
MON 810,01t24000004R1SLAA0
Pyrinex 480 EC - Monsanto,01t24000004R1SMAA0
Roundup SL,01t24000004R1SNAA0
M 5410 IPRO,01t24000004R1SOAA0
M 5947 IPRO,01t24000004R1SPAA0
M 6101 RR,01t24000004R1SQAA0
M 6210 IPRO,01t24000004R1SRAA0
M 6410 IPRO,01t24000004R1SSAA0
M 6952 IPRO,01t24000004R1STAA0
M 7110 IPRO,01t24000004R1SUAA0
M 7211 RR,01t24000004R1SVAA0
M 7639 RR,01t24000004R1SWAA0
M 7739 IPRO,01t24000004R1SXAA0
M 7739IPRO,01t24000004R1SYAA0
M 8210 IPRO,01t24000004R1SZAA0
M 8221 IPRO,01t24000004R1SaAAK
M 8349 IPRO,01t24000004R1SbAAK
M 8372 IPRO,01t24000004R1ScAAK
M 8527 RR,01t24000004R1SdAAK
M 8644 IPRO,01t24000004R1SeAAK
M 8766 RR,01t24000004R1SfAAK
M 8808 IPRO,01t24000004R1SgAAK
M 8849 RR,01t24000004R1ShAAK
M 8867 RR,01t24000004R1SiAAK
Valente,01t24000004R1Y2AAK
Vaqueano,01t24000004R1Y3AAK
Belure - OuroFino Agroneg¾cio,01t24000004R1Y4AAK
Bistar - OuroFino Agroneg¾cio,01t24000004R1Y5AAK
Brilhantebr - OuroFino Agroneg¾cio,01t24000004R1Y6AAK
CapatazBR - OuroFino Agroneg¾cio,01t24000004R1Y7AAK
Diamantebr,01t24000004R1Y8AAK
SingularBR,01t24000004R1Y9AAK
Difere,01t24000004R1YAAA0
30B30,01t24000004R1YBAA0
30B30 H,01t24000004R1YCAA0
30B39,01t24000004R1YDAA0
30B39 H,01t24000004R1YEAA0
30B39 HR,01t24000004R1YFAA0
30B88,01t24000004R1YGAA0
30F35,01t24000004R1YHAA0
30F35 H,01t24000004R1YIAA0
30F35 HR,01t24000004R1YJAA0
30F35 YH,01t24000004R1YKAA0
30F53,01t24000004R1YLAA0
30F53 H,01t24000004R1YMAA0
30F53 HR,01t24000004R1YNAA0
30F53 YH,01t24000004R1YOAA0
30F90,01t24000004R1YPAA0
30F90 H,01t24000004R1YQAA0
30K64 H,01t24000004R1YRAA0
30K73,01t24000004R1YSAA0
30K73 H,01t24000004R1YTAA0
30K75,01t24000004R1YUAA0
30K75 Y,01t24000004R1YVAA0
30R50,01t24000004R1YWAA0
30R50 H,01t24000004R1YXAA0
30S31,01t24000004R1YYAA0
30S31 YH,01t24000004R1YZAA0
31S31 H,01t24000004R1YaAAK
32R22,01t24000004R1YbAAK
32R22 H,01t24000004R1YcAAK
32R22 YHR,01t24000004R1YdAAK
32R48,01t24000004R1YeAAK
32R48 H,01t24000004R1YfAAK
P 30A47 HX,01t24000004R1YgAAK
P 95R51 RR,01t24000004R1YhAAK
P 95Y21 RR,01t24000004R1YiAAK
P 95Y72 RR,01t24000004R1YjAAK
P 97R01 RR,01t24000004R1YkAAK
NS50 PRO,01t24000004R1XLAA0
NS90 PRO,01t24000004R1XMAA0
NS90 PRO2,01t24000004R1XNAA0
NS92 PRO,01t24000004R1XOAA0
SYN1080RR,01t24000004R1XPAA0
Abamectin Nortox,01t24000004R1XQAA0
Acefato Nortox,01t24000004R1XRAA0
Carbendazim Nortox,01t24000004R1XSAA0
Cipermetr. Nortox - Nortox,01t24000004R1XTAA0
Dimetoato Nortox CE,01t24000004R1XUAA0
Endosulfan Nortox 350 EC,01t24000004R1XVAA0
Fipronil Nortox 800 WG,01t24000004R1XWAA0
Imidacloprid Nortox 700,01t24000004R1XXAA0
Imidacloprido,01t24000004R1XYAA0
Methomex - Nortox,01t24000004R1XZAA0
Pyrinex 480 EC - Nortox,01t24000004R1XaAAK
Tebuco Nortox,01t24000004R1XbAAK
Tebuconazole Nortox 200 EC,01t24000004R1XcAAK
Belure - Nufarm,01t24000004R1XdAAK
Carbomax 500 SC,01t24000004R1XeAAK
Commanche,01t24000004R1XfAAK
Cyptrin,01t24000004R1XgAAK
Dimax 480 SC,01t24000004R1XhAAK
Dimilin - Nufarm,01t24000004R1XiAAK
Endosulfan Agripec,01t24000004R1XjAAK
EPINGLE 100,01t24000004R1XkAAK
Imidacloprido NUFARM,01t24000004R1XlAAK
Kaiso 250 SC,01t24000004R1XmAAK
Klorpan - Nufarm,01t24000004R1XnAAK
Majesty - Nufarm,01t24000004R1XoAAK
Nuprid 700 WG,01t24000004R1XpAAK
Rival 200 EC,01t24000004R1XqAAK
Sumirody 300,01t24000004R1XrAAK
FTS,01t24000004R1XsAAK
Green Top,01t24000004R1XtAAK
Special Products,01t24000004R1XuAAK
Ametista,01t24000004R1XvAAK
Marfim,01t24000004R1XwAAK
Mirante,01t24000004R1XxAAK
Ônix,01t24000004R1XyAAK
Abalone,01t24000004R1XzAAK
Campeiro,01t24000004R1Y0AAK
Quartzo,01t24000004R1Y1AAK
M 9350,01t24000004R1SjAAK
M6101 RR,01t24000004R1SkAAK
M7211 RR,01t24000004R1SlAAK
M7639 RR,01t24000004R1SmAAK
M7908,01t24000004R1SnAAK
M8066,01t24000004R1SoAAK
M8527 RR,01t24000004R1SpAAK
M8766 RR,01t24000004R1SqAAK
M8849 RR,01t24000004R1SrAAK
M8866,01t24000004R1SsAAK
M8867 RR,01t24000004R1StAAK
M9144 RR,01t24000004R1SuAAK
P 98Y11 RR,01t24000004R1SvAAK
SYN1288RR,01t24000004R1SwAAK
M 5705 IPRO,01t24000004R1SxAAK
M 5892 IPRO,01t24000004R1SyAAK
M 5917 IPRO,01t24000004R1SzAAK
2A55 H,01t24000004R1T0AAK
2A55 PW,01t24000004R1T1AAK
30A16 H,01t24000004R1T2AAK
30A16 PW,01t24000004R1T3AAK
30A37 H,01t24000004R1T4AAK
30A37 PW,01t24000004R1T5AAK
30A68 H,01t24000004R1T6AAK
30A68 PW,01t24000004R1T7AAK
30A77 H,01t24000004R1T8AAK
30A77 PW,01t24000004R1T9AAK
30A91 H,01t24000004R1TAAA0
30A91 PW,01t24000004R1TBAA0
30A95 H,01t24000004R1TCAA0
30A95 PW,01t24000004R1TDAA0
MG 652 HX,01t24000004R1TEAA0
MG13002 PW,01t24000004R1TFAA0
A 4725 RG,01t24000004R1TGAA0
A 7321 RG,01t24000004R1THAA0
ANTA 82,01t24000004R1TIAA0
N 7255 RR,01t24000004R1TJAA0
N 7337 RR,01t24000004R1TKAA0
N 8015 RR,01t24000004R1TLAA0
N5909 RR,01t24000004R1TMAA0
N7100 RR,01t24000004R1TNAA0
N7255 RR,01t24000004R1TOAA0
N7337 RR,01t24000004R1TPAA0
N8015 RR,01t24000004R1TQAA0
NA 4990 RG,01t24000004R1TRAA0
NA 5909 RR,01t24000004R1TSAA0
P 97R21 RR,01t24000004R1YlAAK
P 97R71 RR,01t24000004R1YmAAK
P 97R73 RR,01t24000004R1YnAAK
P 97Y07 RR,01t24000004R1YoAAK
P 98C81,01t24000004R1YpAAK
P 98R31 RR,01t24000004R1YqAAK
P 98Y12 RR,01t24000004R1YrAAK
P 98Y30 RR,01t24000004R1YsAAK
P 98Y51 RR,01t24000004R1YtAAK
P 98Y70 RR,01t24000004R1YuAAK
P 99R01 RR,01t24000004R1YvAAK
P 99R03 RR,01t24000004R1YwAAK
P10099 H1,01t24000004R1YxAAK
P1630,01t24000004R1YyAAK
P1630 H,01t24000004R1YzAAK
P2530,01t24000004R1Z0AAK
P2530 H,01t24000004R1Z1AAK
P2830 H,01t24000004R1Z2AAK
P30071,01t24000004R1Z3AAK
P3073 H,01t24000004R1Z4AAK
P30R50 YH,01t24000004R1Z5AAK
P30S31 H,01t24000004R1Z6AAK
P3161 - HX,01t24000004R1Z7AAK
P3161 H,01t24000004R1Z8AAK
P3161 HX,01t24000004R1Z9AAK
P3340,01t24000004R1ZAAA0
P3340 H,01t24000004R1ZBAA0
P3431 H,01t24000004R1ZCAA0
P3431H,01t24000004R1ZDAA0
P3456H,01t24000004R1ZEAA0
P3646,01t24000004R1ZFAA0
P3646 H,01t24000004R1ZGAA0
P3862,01t24000004R1ZHAA0
P3862 H,01t24000004R1ZIAA0
P3862 HY,01t24000004R1ZJAA0
P3862 YH,01t24000004R1ZKAA0
P4285,01t24000004R1ZLAA0
P4285 H,01t24000004R1ZMAA0
P98R31 RR,01t24000004R1ZNAA0
P98Y11 RR,01t24000004R1ZOAA0
P98Y12 RR,01t24000004R1ZPAA0
P98Y30 RR,01t24000004R1ZQAA0
TMG 2187 IPRO,01t24000004R1b5AAC
TMG 415033 IPRO,01t24000004R1b6AAC
TMG 4182,01t24000004R1b7AAC
TMG 4185,01t24000004R1b8AAC
TMG 4190,01t24000004R1b9AAC
TMG 42 WS,01t24000004R1bAAAS
TMG 43 WS,01t24000004R1bBAAS
TMG 45 B2RF,01t24000004R1bCAAS
TMG 46 B2RF,01t24000004R1bDAAS
TMG 47 B2RF,01t24000004R1bEAAS
TMG 7060 IPRO,01t24000004R1bFAAS
NA 7200 RR,01t24000004R1TTAA0
NA 7337 RR,01t24000004R1TUAA0
NA 7490 RR,01t24000004R1TVAA0
NA 7901 RR,01t24000004R1TWAA0
NA 8572,01t24000004R1TXAA0
NA 8843,01t24000004R1TYAA0
Nidera 7901,01t24000004R1TZAA0
NS 4823 RR,01t24000004R1TaAAK
NS 5000 IPRO,01t24000004R1TbAAK
NS 5151 IPRO,01t24000004R1TcAAK
NS 5445 IPRO,01t24000004R1TdAAK
NS 56PRO,01t24000004R1TeAAK
NS 5727 IPRO,01t24000004R1TfAAK
NS 5858 RR,01t24000004R1TgAAK
NS 5959 IPRO,01t24000004R1ThAAK
NS 6006 IPRO,01t24000004R1TiAAK
NS 6209 IPRO,01t24000004R1TjAAK
NS 6209 RR,01t24000004R1TkAAK
NS 6211 RR,01t24000004R1TlAAK
NS 6262 RR,01t24000004R1TmAAK
NS 6411 RR,01t24000004R1TnAAK
NS 6700 IPRO,01t24000004R1ToAAK
NS 6767 RR,01t24000004R1TpAAK
NS 6906 IPRO,01t24000004R1TqAAK
NS 6909 IPRO,01t24000004R1TrAAK
NS 7000 IPRO,01t24000004R1TsAAK
NS 7100 RR,01t24000004R1TtAAK
NS 7200 RR,01t24000004R1TuAAK
NS 7225 IPRO,01t24000004R1TvAAK
NS 7237 IPRO,01t24000004R1TwAAK
NS 7300 IPRO,01t24000004R1TxAAK
NS 7338 IPRO,01t24000004R1TyAAK
NS 7490 RR,01t24000004R1TzAAK
NS 7667 IPRO,01t24000004R1U0AAK
NS 7670 RR,01t24000004R1U1AAK
NS 7907 RR,01t24000004R1U2AAK
NS 8270,01t24000004R1U3AAK
NS 8290,01t24000004R1U4AAK
NS 8393 RR,01t24000004R1U5AAK
NS 8490 RR,01t24000004R1U6AAK
TMG 7062 IPRO,01t24000004R1bGAAS
TMG 7161 RR,01t24000004R1bHAAS
TMG 7188 RR INOX,01t24000004R1bIAAS
TMG 7262 RR,01t24000004R1bJAAS
TMG 7363 RR,01t24000004R1bKAAS
TMG 81 WS,01t24000004R1bLAAS
TMG 82 WS,01t24000004R1bMAAS
TMG115 RR,01t24000004R1bNAAS
TMG1174 RR,01t24000004R1bOAAS
TMG1179 RR,01t24000004R1bPAAS
TMG1182 RR,01t24000004R1bQAAS
TMG1187 RR,01t24000004R1bRAAS
TMG123 RR,01t24000004R1bSAAS
TMG127,01t24000004R1bTAAS
TMG1288 RR,01t24000004R1bUAAS
TMG132 RR,01t24000004R1bVAAS
TMG133 RR,01t24000004R1bWAAS
TMG7188 RR INOX,01t24000004R1bXAAS
Kymon Plus,01t24000004R1bYAAS
Acefato UPL,01t24000004R1bZAAS
Batent,01t24000004R1baAAC
Battus,01t24000004R1bbAAC
Belure - UPL,01t24000004R1bcAAC
Game,01t24000004R1bdAAC
Imidagold 700 WGá,01t24000004R1beAAC
Lancer 750 SP - UPL,01t24000004R1bfAAC
Majesty - UPL,01t24000004R1bgAAC
Perito UPL,01t24000004R1bhAAC
Portero,01t24000004R1biAAC
Protreat,01t24000004R1bjAAC
Unizeb Gold,01t24000004R1bkAAC
Vitavax,01t24000004R1blAAC
Bac-control PM,01t24000004R1bmAAC
W 708 RR,01t24000004R1bnAAC
W 711RR,01t24000004R1boAAC
W 712 RR,01t24000004R1bpAAC
W 72,01t24000004R1bqAAC
W 787 RR,01t24000004R1brAAC
W 791 RR,01t24000004R1bsAAC
W 799 RR,01t24000004R1btAAC
W691RR,01t24000004R1buAAC
W708 RR,01t24000004R1bvAAC
W72,01t24000004R1bwAAC
W787 RR,01t24000004R1bxAAC
P98Y51 RR,01t24000004R1ZRAA0
P98Y70 RR,01t24000004R1ZSAA0
P99R01 RR,01t24000004R1ZTAA0
P99R03 RR,01t24000004R1ZUAA0
PX15A2560 YH1,01t24000004R1ZVAA0
PXB55H15 RR,01t24000004R1ZWAA0
P3134H,01t24000004R1ZXAA0
Cipertrin,01t24000004R1ZYAA0
Gallop,01t24000004R1ZZAA0
Profol,01t24000004R1ZaAAK
Profol Cab,01t24000004R1ZbAAK
Profol Cobalto Edta,01t24000004R1ZcAAK
Profol Comol,01t24000004R1ZdAAK
Profol Sais,01t24000004R1ZeAAK
Profol Soja,01t24000004R1ZfAAK
RB 8307 RR,01t24000004R1ZgAAK
RB 9210 PRO,01t24000004R1ZhAAK
RB 9308 YG,01t24000004R1ZiAAK
RB8307 RR,01t24000004R1ZjAAK
RB9004 PRO,01t24000004R1ZkAAK
RB9005 PRO,01t24000004R1ZlAAK
RB9006 PRO,01t24000004R1ZmAAK
RB9110 PRO,01t24000004R1ZnAAK
RK 5813 RR,01t24000004R1ZoAAK
RK 6813 RR,01t24000004R1ZpAAK
RK 7214 IPRO,01t24000004R1ZqAAK
RK 7814 IPRO,01t24000004R1ZrAAK
Ros Camino RR,01t24000004R1ZsAAK
Acaramik,01t24000004R1ZtAAK
Bamako 700 WG - Rotam,01t24000004R1ZuAAK
Bazuka 216 SL - Rotam,01t24000004R1ZvAAK
Grimectin - Rotam,01t24000004R1ZwAAK
Imidacloprid 600 FS Rotam,01t24000004R1ZxAAK
W791 RR,01t24000004R1byAAC
Testemunha,01t24000004R1bzAAC
BRS 232,01t24000004R1KaAAK
BRS 239,01t24000004R1KbAAK
BRS 240,01t24000004R1KcAAK
BRS 241,01t24000004R1KdAAK
BRS 242 RR,01t24000004R1KeAAK
BRS 243 RR,01t24000004R1KfAAK
BRS 244 RR,01t24000004R1KgAAK
BRS 245 RR,01t24000004R1KhAAK
BRS 246 RR,01t24000004R1KiAAK
BRS 247 RR,01t24000004R1KjAAK
BRS 255RR,01t24000004R1KkAAK
BRS 256RR,01t24000004R1KlAAK
BRS 257,01t24000004R1KmAAK
BRS 258,01t24000004R1KnAAK
BRS 259,01t24000004R1KoAAK
BRS 262,01t24000004R1KpAAK
BRS 266,01t24000004R1KqAAK
BRS 268,01t24000004R1KrAAK
BRS 270RR,01t24000004R1KsAAK
BRS 278 RR,01t24000004R1KtAAK
BRS 279 RR,01t24000004R1KuAAK
BRS 282,01t24000004R1KvAAK
BRS 283 ,01t24000004R1KwAAK
BRS 284 ,01t24000004R1KxAAK
BRS 294RR,01t24000004R1KyAAK
BRS 295RR,01t24000004R1KzAAK
BRS 313,01t24000004R1L0AAK
BRS 314,01t24000004R1L1AAK
BRS 315RR,01t24000004R1L2AAK
BRS 316 RR,01t24000004R1L3AAK
BRS 317 ,01t24000004R1L4AAK
BRS 318 RR,01t24000004R1L5AAK
BRS 319 RR,01t24000004R1L6AAK
BRS 327,01t24000004R1L7AAK
BRS 328,01t24000004R1L8AAK
BRS 331,01t24000004R1L9AAK
BRS 333 RR,01t24000004R1LAAA0
